Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,row
1,15,Sé,-23.55,-46.6333,11,193144,11,14,35,REABASTECER,34,2018-11-01,57,3901
14,43,Sé,-23.55,-46.6333,34,193230,43,13,6,REABASTECER,10,2018-11-20,58,3920
11,36,Trianon-Masp,-23.5634,-46.6544,15,45711,57,26,24,NORMAL,8,2018-05-19,18,1579
20,8,Sé,-23.55,-46.6333,14,193843,53,73,17,NORMAL,23,2019-07-07,26,4147
34,41,Trianon-Masp,-23.5634,-46.6544,10,42863,27,86,29,NORMAL,29,2018-12-16,18,1786
34,8,Trianon-Masp,-23.5634,-46.6544,5,45605,10,39,23,NORMAL,11,2018-12-29,65,1799
21,7,Sé,-23.55,-46.6333,18,195138,27,9,10,REABASTECER,16,2018-06-01,27,3751
5,2,Sé,-23.55,-46.6333,43,192701,11,45,43,NORMAL,6,2018-06-15,65,3765
19,30,Sé,-23.55,-46.6333,31,193257,27,19,41,REABASTECER,4,2018-07-06,12,3786
35,4,Trianon-Masp,-23.5634,-46.6544,23,42503,2,71,22,NORMAL,16,2019-03-05,65,1865
26,23,Trianon-Masp,-23.5634,-46.6544,15,44064,54,86,6,REABASTECER,33,2019-03-30,36,1890
43,21,Trianon-Masp,-23.5634,-46.6544,15,44514,56,76,10,NORMAL,11,2019-05-08,32,1928
37,42,Trianon-Masp,-23.5634,-46.6544,27,42543,15,31,5,REABASTECER,13,2019-06-01,55,1951
18,25,Brás,-23.5451,-46.6162,39,71379,14,4,20,REABASTECER,30,2018-05-12,13,4452
22,23,Brás,-23.5451,-46.6162,38,72607,28,79,35,NORMAL,23,2018-06-12,12,4482
35,43,Sé,-23.55,-46.6333,36,191817,65,12,37,REABASTECER,43,2019-04-09,21,4059
36,43,Trianon-Masp,-23.5634,-46.6544,5,43949,9,79,31,REABASTECER,43,2019-12-11,50,2141
40,25,Sé,-23.55,-46.6333,17,194282,25,86,41,NORMAL,43,2019-06-10,24,4120
25,13,Sé,-23.55,-46.6333,18,193864,62,86,21,NORMAL,28,2019-07-06,32,4146
23,22,Sé,-23.55,-46.6333,23,194561,1,42,43,REABASTECER,27,2019-12-30,14,4320
31,39,Brás,-23.5451,-46.6162,26,73328,40,61,35,NORMAL,8,2018-04-08,51,4418
