Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Açaí-Guaraná_prev,Citrus_prev,Maçã-Verde_prev,Original_269_prev,Original_473_prev,Pêssego_prev,Tangerina_prev,Zero_prev,MIN,Estação_Ana Rosa,Estação_Barra Funda,Estação_Brigadeiro,Estação_Brooklin,Estação_Brás,Estação_Butantã,Estação_Campo Belo,Estação_Consolação,Estação_Eucaliptos,Estação_Faria Lima,Estação_Fradique Coutinho,Estação_Higienópolis-Mackenzie,Estação_Hospital São Paulo,Estação_Luz,Estação_Moema,Estação_Paraíso,Estação_Pinheiros,Estação_República,Estação_São Joaquim,Estação_São Judas,Estação_Sé,Estação_Tamanduateí,Estação_Tatuapé,Estação_Trianon-Masp,Estação_Vila Mariana,TARGET
22,65,22,14,3,26,43,18,43.0,26.0,14.0,65.0,22.0,18.0,3.0,22.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
11,56,16,14,43,20,37,15,31.0,14.0,14.0,47.0,0.0,12.0,83.0,10.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,51,8,11,41,20,35,12,33.0,20.0,8.0,46.0,161.0,9.0,39.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
76,47,65,11,37,14,32,10,29.0,8.0,11.0,43.0,66.0,8.0,33.0,122.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
68,42,60,6,35,13,26,5,20.0,12.0,1.0,37.0,60.0,0.0,33.0,55.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
57,35,55,43,31,9,22,43,18.0,5.0,80.0,28.0,46.0,81.0,27.0,50.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
45,33,50,39,25,5,16,39,10.0,1.0,35.0,31.0,33.0,35.0,19.0,45.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
34,28,41,39,22,43,13,34,10.0,81.0,39.0,23.0,23.0,29.0,19.0,32.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
22,24,31,35,18,40,8,29,3.0,37.0,31.0,20.0,10.0,24.0,14.0,21.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
9,16,26,33,13,38,4,24,0.0,36.0,31.0,8.0,-4.0,19.0,8.0,21.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,12,22,29,8,37,43,20,82.0,36.0,25.0,8.0,163.0,16.0,3.0,18.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
75,10,12,25,2,35,39,14,35.0,33.0,21.0,8.0,64.0,8.0,-4.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
67,0,3,21,43,34,33,9,27.0,33.0,17.0,-10.0,59.0,4.0,84.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
59,65,65,20,38,34,27,3,21.0,34.0,19.0,130.0,51.0,-3.0,33.0,127.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
50,63,56,18,32,34,25,43,23.0,34.0,16.0,61.0,41.0,83.0,26.0,47.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
39,59,48,12,30,30,20,37,15.0,26.0,6.0,55.0,28.0,31.0,28.0,40.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
26,50,44,7,27,30,14,34,8.0,30.0,2.0,41.0,13.0,31.0,24.0,40.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
15,45,39,3,25,25,8,29,2.0,20.0,-1.0,40.0,4.0,24.0,23.0,34.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
7,35,31,43,21,20,2,27,-4.0,15.0,83.0,25.0,-1.0,25.0,17.0,23.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,27,21,39,17,19,43,21,84.0,18.0,35.0,19.0,165.0,15.0,13.0,11.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
78,17,11,35,11,17,38,19,33.0,15.0,31.0,7.0,70.0,17.0,5.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
65,12,7,34,9,16,32,14,26.0,15.0,33.0,7.0,52.0,9.0,7.0,3.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
57,3,65,28,4,13,30,10,28.0,10.0,22.0,-6.0,49.0,6.0,-1.0,123.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
47,65,55,24,43,12,25,4,20.0,11.0,20.0,127.0,37.0,-2.0,82.0,45.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
37,62,46,21,40,9,21,43,17.0,6.0,18.0,59.0,27.0,82.0,37.0,37.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
28,60,37,15,36,9,16,39,11.0,9.0,9.0,58.0,19.0,35.0,32.0,28.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
16,52,30,10,31,4,12,33,8.0,-1.0,5.0,44.0,4.0,27.0,26.0,23.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
8,43,25,10,29,43,9,29,6.0,82.0,10.0,34.0,0.0,25.0,27.0,20.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,39,19,4,24,41,3,24,-3.0,39.0,-2.0,35.0,164.0,19.0,19.0,13.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
78,33,9,43,20,36,43,21,83.0,31.0,82.0,27.0,70.0,18.0,16.0,-1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
67,27,65,43,17,33,37,18,31.0,30.0,43.0,21.0,56.0,15.0,14.0,121.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
57,21,61,43,12,33,31,16,28.0,33.0,43.0,18.0,52.0,15.0,9.5,59.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
45,17,57,38,9,29,27,10,23.0,25.0,33.0,13.0,33.0,4.0,6.0,53.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
34,15,53,32,5,29,21,6,15.0,29.0,26.0,13.0,23.0,2.0,1.0,49.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
23,13,45,31,43,25,15,43,9.0,21.0,30.0,11.0,12.0,80.0,81.0,37.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
10,6,39,26,39,24,13,38,11.0,23.0,21.0,-1.0,-3.0,33.0,35.0,33.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,65,35,25,35,22,7,36,1.0,20.0,24.0,124.0,162.0,34.0,31.0,31.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
74,56,25,25,33,21,3,30,-1.0,20.0,25.0,47.0,62.0,24.0,31.0,15.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
63,50,16,24,30,15,43,24,83.0,9.0,23.0,44.0,52.0,18.0,27.0,7.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
54,40,11,20,28,12,40,21,37.0,9.0,16.0,30.0,45.0,18.0,26.0,6.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
47,38,2,20,23,6,36,18,32.0,0.0,20.0,36.0,40.0,15.0,18.0,-7.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
35,32,65,18,20,43,34,12,32.0,80.0,16.0,26.0,23.0,6.0,17.0,128.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
28,25,59,18,14,40,28,8,22.0,37.0,18.0,18.0,21.0,4.0,8.0,53.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
21,18,52,14,9,36,24,5,20.0,32.0,10.0,11.0,14.0,2.0,4.0,45.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
8,14,43,9,6,32,21,43,18.0,28.0,4.0,10.0,-5.0,81.0,3.0,34.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,5,34,5,43,30,18,40,15.0,28.0,1.0,-4.0,164.0,37.0,80.0,25.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
79,65,28,43,37,29,12,34,6.0,28.0,81.0,125.0,72.0,28.0,31.0,22.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
70,61,20,38,35,26,10,30,8.0,23.0,33.0,57.0,61.0,26.0,33.0,12.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
62,51,16,36,33,26,6,28,2.0,26.0,34.0,41.0,54.0,26.0,31.0,12.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
49,41,11,34,30,26,43,22,80.0,26.0,32.0,31.0,36.0,16.0,27.0,6.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
37,32,1,33,24,25,38,18,33.0,24.0,32.0,23.0,25.0,14.0,18.0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
29,27,65,32,22,23,34,12,30.0,21.0,31.0,22.0,21.0,6.0,20.0,129.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
22,18,61,27,19,19,29,6,24.0,15.0,22.0,9.0,15.0,0.0,16.0,57.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
11,10,56,25,17,14,25,43,21.0,9.0,23.0,2.0,0.0,80.0,15.0,51.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
86,7,50,19,13,13,22,41,19.0,12.0,13.0,4.0,161.0,39.0,9.0,44.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
78,65,43,13,11,8,20,39,18.0,3.0,7.0,123.0,70.0,37.0,9.0,36.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
71,61,37,12,6,7,15,36,10.0,6.0,11.0,57.0,64.0,33.0,1.0,31.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
58,59,28,10,43,6,12,33,9.0,5.0,8.0,57.0,45.0,30.0,80.0,19.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
